Region,Gender,DiabetesPercentage
Midwest,Female,8.094444444444445
Midwest,Male,9.429166666666667
Northeast,Female,7.845833333333333
Northeast,Male,9.247222222222225
Southeast,Female,10.768055555555556
Southeast,Male,11.216666666666669
Southwest,Female,9.608333333333333
Southwest,Male,11.070833333333333
West,Female,7.533333333333332
West,Male,8.636363636363638
